model,fold,inner_best_score,outer_score,gap,best_params
RF,1,0.49446559309465615,0.4608501118568233,0.03361548123783287,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}"
RF,2,0.49662644262267397,0.4674698795180723,0.029156563104601685,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}"
RF,3,0.4934046969593714,0.5032822757111597,-0.009877578751788296,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}"
RF,4,0.48916389078525946,0.4768211920529801,0.012342698732279334,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}"
RF,5,0.4879334342030298,0.5095238095238095,-0.021590375320779676,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}"
DT,1,0.47028571181951595,0.4418145956607495,0.028471116158766463,"{'max_depth': 5, 'min_samples_split': 10}"
DT,2,0.4745716406258936,0.46502057613168724,0.00955106449420634,"{'max_depth': 5, 'min_samples_split': 10}"
DT,3,0.46212698189575674,0.496,-0.03387301810424326,"{'max_depth': 5, 'min_samples_split': 2}"
DT,4,0.4633986755914741,0.448559670781893,0.014839004809581058,"{'max_depth': 3, 'min_samples_split': 2}"
DT,5,0.4662422432189633,0.48130841121495327,-0.015066167995989976,"{'max_depth': 3, 'min_samples_split': 2}"
